imdbId,Genre,umap_x,umap_y,cluster_dbscan
54389,Crime|Drama|Thriller,4.6402082,3.0554988,2
66225,Comedy|Drama,6.040218,4.471296,2
1355631,Biography|Crime|Drama,3.385953,0.7948903,4
1391034,Crime|Horror|Mystery,7.2335587,3.195885,2
4230706,Music,5.9668393,4.969754,2
73631,Action|Sci-Fi|Sport,0.6548451,4.508467,3
2974050,Comedy|Drama|Family,5.3777256,3.0806408,2
133985,Action|Crime|Thriller,6.191779,4.252068,2
58123,Crime|Drama|Romance,4.2260175,3.0899553,2
61176,Comedy|War,1.4016486,3.457314,3
2738050,Comedy|Drama|Romance,1.8209746,2.4736996,3
4160256,Documentary|Drama|Family,2.5919688,5.5719967,1
18097,Horror,5.4951367,4.0437326,2
3659786,Drama,3.2199688,3.1843934,6
36677,Biography|Romance|Western,1.2364748,3.5094936,3
120401,Drama|Horror|Thriller,3.2139776,0.9263937,4
2760634,Drama|Romance,3.7507365,1.2371964,4
3853452,Action|Adventure|Comedy,4.5621567,3.193794,2
3859304,Comedy|Drama,3.3333573,1.8230017,4
57189,Comedy,3.0319989,0.88951963,4
50782,Drama|Romance,3.300878,1.7612144,4
498353,Horror,3.6669846,3.0992846,4
1703957,Biography|Drama,4.3295484,3.7813334,2
94641,Comedy,2.9093428,1.0186516,4
284850,Comedy|Drama|Romance,6.7516093,4.0630364,2
1810633,Animation|Comedy|Family,2.8753324,4.336315,-1
12532,Drama|History|Romance,2.677342,3.1452618,3
76374,Adventure|Crime|Drama,2.352683,4.826181,1
344936,Documentary,3.4919646,5.065428,5
1212448,Animation|Comedy|Sci-Fi,3.8600962,4.5824466,2
3356434,Documentary|Comedy|Drama,6.34327,4.631461,2
98442,Comedy|Drama|Music,0.7655611,4.5657697,3
961722,Comedy|Horror,5.8227916,4.774265,2
1625092,Documentary|Biography,4.2391396,2.4412482,4
1071880,Action|Crime|Drama,2.205642,2.6108725,3
4136636,Adventure|Family,2.9264739,1.3412207,4
142371,Animation|Action|Drama,3.5764537,5.9023976,5
336910,Comedy|Crime,2.7885962,6.449255,9
105402,Action|Adventure|Comedy,6.6012473,3.2362323,2
40876,Action|Adventure|Drama,1.6467311,2.9584064,3
120610,Action|Crime|Drama,5.3188157,5.11786,2
215948,Animation|Action|Sci-Fi,4.628928,4.7438684,2
1001562,Comedy|Crime,3.5061939,2.643433,4
420015,Drama,3.3997123,5.999642,5
34399,Drama|Film-Noir|Thriller,1.7819144,2.0248988,3
3113448,Comedy,2.0586348,2.5366957,3
4334482,Drama,3.4490595,5.3999963,5
12027,Drama|Romance,3.5463367,5.415301,5
51881,Sci-Fi,2.276603,3.0915546,3
1144551,Drama|Romance,6.885133,3.1523328,2
305711,Comedy|Romance,3.2956276,0.86521184,4
1212456,Drama,3.3682032,1.3159226,4
50330,Drama,6.7901807,4.323195,2
1168639,Comedy,4.2751985,5.3064675,5
34965,Comedy|Crime,1.9760776,2.833082,3
2637720,Documentary,4.3048854,5.7683034,5
63823,Animation|Adventure|Comedy,3.561602,5.3241887,5
47580,Drama,1.2170079,3.8789492,3
4593108,Drama|Romance|War,3.3474514,5.640597,5
1850419,Drama|History|Thriller,5.872345,3.2826507,2
